nome,squadra,ruolo_mantra
ABANKWAH,Udinese,Dd;Dc
ABOUKHLAL,Torino,W;A
ADAMS A.,Venezia,Pc
ADAMS C.,Torino,A
ADDAI,Como,W;A
ADOPO,Cagliari,M;C
ADORANTE,Venezia,Pc
ADZIC,Sassuolo,C;T
AHANOR,Atalanta,B;Ds;E
AKANJI,Inter,Dc
AKINSANMIRO,Monza,C
AKPOGUMA,Frosinone,Dc
ALAJBEGOVIC,Juventus,W;T
ALHASSANE,Bologna,Ds;E
ALMQVIST,Parma,W;A
AMEY,Frosinone,Dc
AMONDARAIN,Bologna,M;C
AMORIM,Genoa,M;C
ANJORIN,Torino,C;T
ANTOV,Monza,Dc
ARIZALA,Udinese,Ds;E
ATTA,Fiorentina,C;T
AURELIO,Cagliari,Ds;E
AZON,Como,Pc
BADIASHILE,Napoli,Dc
BAKOLA,Sassuolo,C;T
BAKOUNE,Monza,Dd;E
BALDANZI,Genoa,T
BALERDI,Roma,Dc
BARELLA,Inter,C
BARTESAGHI,Milan,Ds;E
BASIC,Venezia,M;C
BASTONI,Inter,Dc
BATURINA,Como,T
BAYO V.,Udinese,Pc
BELAHYANE,Lazio,M;C
BELLA-KOTCHAP,Venezia,Dc
BELLANOVA,Atalanta,Dd;E
BERARDI,Sassuolo,A
BERISHA M.,Lecce,C;T
BERNABÈ,Parma,C
BERNARDESCHI,Bologna,W;T
BERNASCONI,Atalanta,Ds;E
BERTOLA,Udinese,Dd;Ds;Dc
BEUKEMA,Napoli,Dc
BIJLOW,Genoa,Por
BIRAGHI,Torino,B;Ds;E
BIRINDELLI,Monza,Dd;Ds;E
BIRLIGEA,Frosinone,Pc
BISSECK,Inter,Dc
BLEVE,Lecce,Por
BOBCEK,Frosinone,Pc
BOGA,Juventus,W;A
BOLOCA,Sassuolo,M;C
BONNY,Inter,Pc
BORRELLI,Cagliari,Pc
BOWIE,Sassuolo,Pc
BRACAGLIA,Frosinone,Ds;Dc
BREMER,Juventus,Dc
BRESCIANINI,Fiorentina,C;T
BRITSCHGI,Parma,Dd;Ds;E
BUONGIORNO,Napoli,Dc
BUSIO,Venezia,M;C
BUTEZ,Como,Por
CABAL,Juventus,B;Ds;E
CACCIAMANI,Torino,E;W
CALHANOGLU,Inter,M;C
CALVANI,Frosinone,Dc
CALÒ,Frosinone,M;C
CAMARDA,Milan,Pc
CAMBIAGHI,Bologna,W;A
CAMBIASO,Juventus,Dd;Ds;E
CANCELLIERI,Lazio,W;A
CANDÈ,Sassuolo,Ds;Dc
CAPRILE,Cagliari,Por
CAQUERET,Como,C;T
CARBONI A.,Monza,Ds;Dc
CARBONI F.,Parma,Ds;E
CARLOS AUGUSTO,Inter,B;Ds;E
CARNESECCHI,Atalanta,Por
CASADEI,Torino,C;T
CASALE,Bologna,Dc
CASTRO S.,Roma,Pc
CATALDI,Lazio,M;C
CELIK,Juventus,B;Dd;E
CHAKVETADZE,Udinese,W;T
CHALOBAH T.,Como,Dd;Dc
CHRISTENSEN O.,Fiorentina,Por
CHUKWUEZE,Milan,W
CICHELLA,Frosinone,M;C
CIERVO,Cagliari,W
CINQUEGRANO,Sassuolo,Dd;E
CISSÈ A.,Milan,W;T
CITTADINI,Frosinone,Dc
CIURRIA,Monza,E;W
COCO,Torino,Dc
COLOMBO,Genoa,Pc
COLOMBO L.,Monza,M;C
COLPANI,Monza,T
COMERT,Torino,Dc
COMOTTO,Milan,M;C
COMUZZO,Torino,Dc
CONCEICAO,Juventus,W;A
CONTINI,Napoli,Por
CORREIA T.,Venezia,Dd;E
CORVI,Parma,Por
COULIBALY L.,Lecce,M;C
COUTO,Como,Dd;E
CREMASCHI,Parma,E;C
CRISTANTE,Roma,M;C
CUTRONE,Monza,Pc
DA CUNHA,Como,C;T
DAFFARA,Parma,Por
DAGASSO,Venezia,C
DAVID,Juventus,Pc
DAVIS K.,Udinese,Pc
DE BRUYNE,Napoli,T
DE GEA,Fiorentina,Por
DE KETELAERE,Atalanta,A
DE MARTIS,Parma,Pc
DE MARZI,Roma,Por
DE ROON,Roma,M;C
DE SILVESTRI,Bologna,Dd;E
DE WINTER,Milan,Dd;Dc
DEIOLA,Cagliari,M;C
DELE-BASHIRU,Lazio,C;T
DELLI CARRI,Monza,Dc
DELPRATO,Parma,B;Dd;E
DEMBELÈ A.,Lecce,Dd;E
DESPLANCHES,Frosinone,Por
DI GENNARO,Inter,Por
DI LORENZO,Napoli,Dd;E
DIA,Lazio,A
DIALLO O.,Parma,W;A
DIAO,Como,W;A
DIAWARA S.,Milan,Ds;Dc
DIMARCO,Inter,E;W
DIOUF,Inter,E;C
DODÒ,Fiorentina,Dd;E
DOEKHI,Lazio,Dc
DOIG,Sassuolo,Ds;E
DOMINGUEZ B.,Sassuolo,W;A
DOUGLAS LUIZ,Juventus,C
DOUVIKAS,Como,Pc
DOVBYK,Bologna,Pc
DRAGUSIN,Fiorentina,Dc
DROBNIC,Parma,Dc
DUNCAN,Venezia,C
DYBALA,Roma,A
EBOSSE,Udinese,Ds;Dc
EDERSON D.S.,Atalanta,M;C
EKHATOR,Juventus,A
EKKELENKAMP,Udinese,C;T
EL AYNAOUI,Roma,M;C
EL AZZOUZI A.,Frosinone,M;C
EL AZZOUZI O.,Bologna,M;C
ELLERTSSON,Genoa,E;C
ELMAS,Atalanta,W;T
ELPHEGE,Parma,Pc
ESPOSITO F.P.,Inter,Pc
ESPOSITO SE.,Sassuolo,A
ESTUPINAN,Milan,Ds;E
FABBIAN,Parma,C;T
FADERA,Cagliari,W
FAGIOLI,Fiorentina,M;C
FALCONE,Lecce,Por
FATAH,Lecce,W;A
FAVASULI,Napoli,Dd;Ds;E
FAZZINI,Cagliari,C;T
FELICI,Cagliari,W
FERGUSON,Bologna,M;C
FINI,Frosinone,W
FITZ-JIM,Torino,M;C
FLORIANI MUSSOLINI,Lazio,Dd;E
FOE ONDOA,Monza,C
FOFANA SA.,Lecce,M;C
FOFANA Y.,Milan,M;C
FOLORUNSHO,Monza,C;T
FORSON O.,Monza,W;T
FORTINI,Torino,E
FRANJIC,Venezia,B;Ds;E
FRATTESI,Lazio,C;T
FRENDRUP,Genoa,M;C
FRIGAN,Parma,A
GABBIA,Milan,Dc
GAETANO,Atalanta,M;C
GAGLIARDINI,Cagliari,M;C
GALLO,Lecce,Ds;E
GANDELMAN,Lecce,C;T
GASPAR K.,Lecce,Dc
GATTI,Juventus,Dc
GELLI F.,Frosinone,C;T
GEUBBELS,Lecce,Pc
GHEDJEMIS,Frosinone,W;A
GHILARDI,Roma,Dc
GILA,Milan,Dc
GILMOUR,Napoli,M;C
GINEITIS,Torino,M;C
GIOVANE,Napoli,A
GOLDANIGA,Como,Dc
GOLLINI,Roma,Por
GOMES,Venezia,Ds;Dc
GONZALEZ N.,Juventus,W;A
GORTER,Lecce,M;C
GRABARA,Juventus,Por
GRANDI,Venezia,Por
GRILLITSCH,Frosinone,M;C
GUDMUNDSSON A.,Fiorentina,T;A
GUEYE,Udinese,Pc
HAINAUT,Venezia,Dd;E
HALHAL,Venezia,Dc
HAPPONEN,Bologna,Por
HAPS,Venezia,Ds;E
HASA,Frosinone,C;T
HAVEL,Genoa,Pc
HEGGEM,Bologna,Ds;Dc
HELGASON,Venezia,C;T
HELLAND,Bologna,Dd;Dc
HERMOSO,Roma,Dc
HIEN,Atalanta,Dc
HOJLUND,Napoli,Pc
HOLM,Bologna,Dd;E
IANNONI,Sassuolo,M;C
IDRISSI R.,Cagliari,Ds;E
IDZES,Sassuolo,Dc
ILIC,Lecce,C
ILKHAN,Torino,M;C
ISAKSEN,Lazio,W;A
ISMAJLI,Torino,Dc
JASHARI,Milan,C
JEAN,Lecce,Dc
JIMENEZ A.,Fiorentina,Dd;Ds;E
JOAO MARIO,Fiorentina,Dd;E
JONES C.,Inter,C
JUAN JESUS,Venezia,Ds;Dc
KABA,Lecce,M;C
KABASELE,Udinese,Dc
KAIKI,Como,Ds;E
KALULU,Juventus,Dd;Dc
KAMARA H.,Udinese,Ds;E
KAMBWALA,Como,Dd;Dc
KARLSTROM,Udinese,M;C
KEAN,Fiorentina,Pc
KEITA M.,Parma,M;C
KELLY L.,Juventus,Ds;Dc
KEMPF,Como,Dc
KESSIÈ,Atalanta,C
KEVIN CARLOS,Cagliari,Pc
KOFLER,Cagliari,Dc
KOLASINAC,Atalanta,Ds;Dc
KOLO MUANI,Juventus,Pc
KONE B.,Frosinone,C
KONÈ I.,Sassuolo,C
KONÈ M.,Roma,M;C
KOOPMEINERS,Juventus,C;T
KOSSOUNOU,Atalanta,Dd;Dc
KOUADIO,Monza,Dd;Dc
KOULIERAKIS,Roma,Dc
KOUTSOUPIAS,Frosinone,C
KRISTENSEN T.,Atalanta,Dd;Dc
KRSTOVIC,Atalanta,Pc
KUHN,Como,W;A
KULENOVIC,Torino,Pc
KVERNADZE,Frosinone,W;A
LAERKE,Lecce,W;A
LAHDO,Como,C;T
LANG,Napoli,A
LAUBERBACH,Venezia,Pc
LAURIENTÈ,Sassuolo,A
LAZZARI,Lazio,Dd;E
LEYSEN F.,Sassuolo,Ds;Dc
LEZZERINI,Fiorentina,Por
LIBERALI,Como,T
LIPANI,Sassuolo,M;C
LISMAN,Venezia,W;A
LITETA,Cagliari,M;C
LOBOTKA,Napoli,M;C
LOCATELLI,Juventus,M;C
LOFTUS-CHEEK,Milan,C;T
LOLIC,Frosinone,Por
LONTANI,Parma,A
LUCCA,Napoli,Pc
LUCCHESI,Monza,Dc
LUCUMÌ,Juventus,Dc
LUIS HENRIQUE,Inter,E;W
LULLI,Roma,E
MACCHIONI,Sassuolo,Dc
MAIGNAN,Milan,Por
MALDINI,Cagliari,T;A
MALEH,Lecce,M;C
MALEN,Roma,Pc
MANCINI,Roma,Dc
MANDAS,Lazio,Por
MANDRAGORA,Fiorentina,C
MANGAS,Monza,Ds;E
MARCANDALLI,Genoa,Dc
MARIANUCCI,Napoli,Dc
MARIN R.,Napoli,Dc
MARTIN,Genoa,Ds;E
MARTINEZ JO.,Inter,Por
MARTINEZ L.,Inter,Pc
MARUSIC,Lazio,Dd;Ds;E
MASCARDI,Torino,Por
MASINI,Frosinone,M;C
MASSOLIN,Cagliari,C;T
MASTANTUONO,Fiorentina,W;T
MATIC,Sassuolo,M;C
MAYE,Monza,Ds;Dc
MAZZOCCHI,Napoli,Dd;Ds;E
MCKENNIE,Juventus,C
MCTOMINAY,Napoli,C;T
MEICHTRY,Genoa,W;T
MENDY P.,Cagliari,Pc
MERET,Napoli,Por
MESSIAS,Genoa,W;T
MILIK,Juventus,Pc
MILINKOVIC-SAVIC V.,Napoli,Por
MILLA,Como,M;C
MILLER L.,Udinese,M;C
MINA,Cagliari,Dc
MIRANDA J.,Bologna,Ds;E
MITAJ,Genoa,Ds;E
MKHITARYAN,Inter,C
MLACIC,Udinese,Dc
MODRIC,Milan,M;C
MOLINA N.,Roma,E
MONTEIRO J.,Lecce,W;A
MONTERISI,Frosinone,Dc
MONTIPÒ,Venezia,Por
MORA,Roma,T
MOREIRA,Milan,W
MORENO M.,Venezia,Dc
MORO N.,Bologna,M;C
MOTA,Monza,A
MOTTA,Lazio,Por
MOUT,Monza,C
MROZEK,Udinese,Por
MURIC,Sassuolo,Por
MUSAH,Milan,C;W
MUTANDWA,Cagliari,Pc
N'DICKA,Roma,Dc
N'DRI,Lecce,W;A
NDABA,Lecce,Ds;E
NDIAYE,Parma,Dc
NDOUR,Fiorentina,C
NERES,Napoli,W;A
NGOM,Lecce,M;C
NGONGE,Monza,A
NICOLUSSI CAVIGLIA,Parma,M;C
NJIE,Fiorentina,W;A
NORTON-CUFFY,Genoa,Dd;E
NOSLIN,Lazio,A
OBERT,Cagliari,B;Ds;E
OBRADOR,Sassuolo,Ds;E
ODENTHAL,Sassuolo,Dc
ODGAARD,Bologna,T
OKOYE,Udinese,Por
OLIVERA,Napoli,B;Ds;E
OMAR FAYED,Frosinone,Dc
ORDONEZ C.,Parma,M;C
ORISTANIO,Torino,W;T
ORSOLINI,Bologna,W;A
OSMAJIC,Genoa,Pc
OSTIGARD,Genoa,Dc
OTOA,Genoa,Dc
OULAI,Fiorentina,M;C
OYONO A.,Frosinone,Dd;E
PADELLI,Udinese,Por
PALEARI,Torino,Por
PALMA,Udinese,Dc
